,Tissue name,bPQ,mPQ
0,Auditory Cortex,0.6799119024214753,0.0
1,Cerebellum,0.7539303023831794,0.0
2,Hippocampus,0.7608592263902754,0.0
3,Visual Cortex,0.7161595591510956,0.0
4,mean,0.7277152475865063,0.0
5,std,0.03242085044042123,0.0
