,Tissue name,bPQ,mPQ
0,Auditory Cortex,0.6756240829597212,0.0
1,Cerebellum,0.7502973719952464,0.0
2,Hippocampus,0.756967131967003,0.0
3,Visual Cortex,0.7338810812245538,0.0
4,mean,0.7291924170366311,0.0
5,std,0.0320484161110621,0.0
