,image_names,Area,small_objects_threshold,dq_metrics,sq_metrics,pq_metrics,precision_metrics,recall_metrics,dice_list,aji_list,aji_plus_list,prec_d_metrics,rec_d_metrics,f1_d_metrics
0,ID10_Aud_Cortex_Tursiops_1,Auditory Cortex,20,0.6567163983069733,0.8283467410124429,0.5439888883070106,0.7096773964620194,0.611111094135803,0.8946483493584315,0.6151891586326828,0.6842795965821052,0.7419354838709677,0.6388888888888888,0.6865671641791045
1,ID10_Aud_Cortex_Tursiops_10,Auditory Cortex,20,0.7213114517602802,0.8037843725834207,0.5797788726903732,0.7333333088888897,0.7096773964620194,0.8069749159717734,0.5913978494000213,0.6282289969015326,0.7,0.6774193548387096,0.6885245901639344
2,ID10_Aud_Cortex_Tursiops_11,Auditory Cortex,20,0.8666666377777787,0.8136220923359447,0.7051391231865146,0.8666666377777787,0.8666666377777787,0.8884085715501507,0.7800762111290064,0.7818001759703125,0.8666666666666667,0.8666666666666667,0.8666666666666667
3,ID10_Aud_Cortex_Tursiops_12,Auditory Cortex,20,0.7164178890621526,0.773736451620565,0.5543186353604456,0.8571428265306134,0.6153845996055232,0.8483206933336728,0.5885671304448508,0.6653134866187062,0.8928571428571429,0.6410256410256411,0.746268656716418
4,ID10_Aud_Cortex_Tursiops_13,Auditory Cortex,20,0.9189188692476287,0.7905695766894794,0.7264693014730729,0.8947367950138528,0.9444443919753115,0.8530997303432479,0.7438307871342348,0.7438307871342348,0.8947368421052632,0.9444444444444444,0.918918918918919
5,ID10_Aud_Cortex_Tursiops_14,Auditory Cortex,20,0.7999999753846162,0.8053973865938151,0.6443178894498863,0.8666666377777787,0.7428571216326537,0.8924802508054948,0.5841080651105198,0.6973387921497094,0.9333333333333333,0.8,0.8615384615384616
6,ID10_Aud_Cortex_Tursiops_15,Auditory Cortex,20,0.7777777489711944,0.814519624041635,0.6335152396799665,0.7777777489711944,0.7777777489711944,0.8582010581361904,0.7197164947526138,0.7278307430158246,0.8148148148148148,0.8148148148148148,0.8148148148148148
7,ID10_Aud_Cortex_Tursiops_16,Auditory Cortex,20,0.9230768875739658,0.8160771217199353,0.7533019295375583,0.9230768875739658,0.9230768875739658,0.900132372341511,0.8137921834315336,0.8137921834315336,0.8846153846153846,0.8846153846153846,0.8846153846153846
8,ID10_Aud_Cortex_Tursiops_2,Auditory Cortex,20,0.7843136947327962,0.7649541554662975,0.5999640199749776,0.7692307396449716,0.7999999680000013,0.859220524482456,0.7454983693824616,0.7519324361935396,0.8076923076923077,0.84,0.8235294117647058
9,ID10_Aud_Cortex_Tursiops_3,Auditory Cortex,20,0.7249999818750005,0.8046393666822099,0.583363526260514,0.7073170559190962,0.7435897245233405,0.8694953206137971,0.6670295771486999,0.6684548327743601,0.7560975609756098,0.7948717948717948,0.775
10,ID10_Aud_Cortex_Tursiops_4,Auditory Cortex,20,0.7169811050195809,0.8156119657687372,0.5847783684840617,0.7037036776406045,0.7307692026627229,0.9097172965391773,0.7449450456628118,0.8004195931040391,0.7037037037037037,0.7307692307692307,0.7169811320754716
11,ID10_Aud_Cortex_Tursiops_5,Auditory Cortex,20,0.7692307297830394,0.8044061144266985,0.6187739024423884,0.7894736426592819,0.7499999625000018,0.8950646860808924,0.7314681656776744,0.7847776509713829,0.8947368421052632,0.85,0.8717948717948718
12,ID10_Aud_Cortex_Tursiops_6,Auditory Cortex,20,0.885714260408164,0.8077830334044505,0.7154649520020862,0.885714260408164,0.885714260408164,0.8726769017157637,0.7287626066011673,0.7416566143202998,0.8285714285714286,0.8285714285714286,0.8285714285714286
13,ID10_Aud_Cortex_Tursiops_7,Auditory Cortex,20,0.7118643826486649,0.7978895362230621,0.5679891421252596,0.7499999732142867,0.677419332986473,0.8834964471857155,0.6660522272743418,0.7324352571440674,0.8928571428571429,0.8064516129032258,0.847457627118644
14,ID10_Aud_Cortex_Tursiops_8,Auditory Cortex,20,0.7999999709090919,0.785166375620266,0.6281330776550099,0.8148147846364894,0.7857142576530622,0.8601262369780934,0.6520855742019738,0.7204719130284928,0.7037037037037037,0.6785714285714286,0.6909090909090909
15,ID10_Aud_Cortex_Tursiops_9,Auditory Cortex,20,0.8571428265306134,0.7776228992601938,0.6665338898468129,0.8888888559670793,0.8275861783590973,0.8944460267220481,0.5402171657417375,0.6855496878842486,0.8148148148148148,0.7586206896551724,0.7857142857142857
16,ID14_Aud_Cortex_Tursiops_1,Auditory Cortex,20,0.6499999837500005,0.7987797065450939,0.5192067962741411,0.6666666495726501,0.6341463259964311,0.8052610231875971,0.5731868494487703,0.6462228156575521,0.6153846153846154,0.5853658536585366,0.6
17,ID14_Aud_Cortex_Tursiops_10,Auditory Cortex,20,0.7826086729678646,0.8305782182179735,0.6500177171555818,0.8709677138397511,0.7105262970914132,0.8876399317783369,0.7012711863894454,0.734478625590533,0.9032258064516129,0.7368421052631579,0.8115942028985508
18,ID14_Aud_Cortex_Tursiops_11,Auditory Cortex,20,0.8064515868886585,0.7916967075783704,0.638465066161103,0.8928571109693889,0.7352940960207619,0.9012155452319114,0.7781724885752741,0.7935516887621749,0.9285714285714286,0.7647058823529411,0.8387096774193549
19,ID14_Aud_Cortex_Tursiops_12,Auditory Cortex,20,0.8157894522160671,0.7786490598563188,0.6352136900087421,0.9117646790657448,0.7380952205215424,0.8622179548136466,0.6361702127015025,0.7292457304637991,0.9411764705882353,0.7619047619047619,0.8421052631578947
20,ID14_Aud_Cortex_Tursiops_13,Auditory Cortex,20,0.7384615157396457,0.809024438697109,0.5974334132706832,0.7741935234131121,0.7058823321799315,0.8873918345497769,0.727255204247566,0.7584763071120837,0.8387096774193549,0.7647058823529411,0.8
21,ID14_Aud_Cortex_Tursiops_14,Auditory Cortex,20,0.6511627604110344,0.746365104197448,0.4860051615236795,0.9333332711111153,0.49999998214285774,0.8195204037842322,0.6583305169553344,0.6712954823921083,0.9333333333333333,0.5,0.6511627906976745
22,ID14_Aud_Cortex_Tursiops_15,Auditory Cortex,20,0.7142856938775517,0.8002234546142022,0.571588165536197,0.8928571109693889,0.59523808106576,0.862970711240653,0.6168837252303117,0.6907262075062754,0.9642857142857143,0.6428571428571429,0.7714285714285715
23,ID14_Aud_Cortex_Tursiops_16,Auditory Cortex,20,0.6410256245890866,0.7443659573326771,0.47715765272203275,0.8064515868886585,0.5319148822996834,0.8455679579221558,0.5314592806505615,0.6060318463981829,0.8709677419354839,0.574468085106383,0.6923076923076923
