,Tissue name,bPQ,mPQ
0,Auditory Cortex,0.6919143802673584,0.0
1,Cerebellum,0.7538323234680403,0.0
2,Hippocampus,0.7746798293664685,0.0
3,Visual Cortex,0.7261601688074169,0.0
4,mean,0.7366466754773211,0.0
5,std,0.031035513321458357,0.0
