,Tissue name,bPQ,mPQ
0,Auditory Cortex,0.6875550016213896,0.0
1,Cerebellum,0.7578997429726357,0.0
2,Hippocampus,0.7384641346866108,0.0
3,Visual Cortex,0.6852644298843787,0.0
4,mean,0.7172958272912537,0.0
5,std,0.03165162846524454,0.0
