,Tissue name,bPQ,mPQ
0,Auditory Cortex,0.6849243280699626,0.0
1,Cerebellum,0.7487442660032271,0.0
2,Hippocampus,0.7732867183010791,0.0
3,Visual Cortex,0.7086409249654487,0.0
4,mean,0.7288990593349294,0.0
5,std,0.03430840091785333,0.0
