,image_names,Area,small_objects_threshold,dq_metrics,sq_metrics,pq_metrics,precision_metrics,recall_metrics,dice_list,aji_list,aji_plus_list,prec_d_metrics,rec_d_metrics,f1_d_metrics
0,ID10_Aud_Cortex_Tursiops_1,Auditory Cortex,20,0.7246376601554302,0.816834224490767,0.5919088411698649,0.7575757346189171,0.6944444251543216,0.9003278688155604,0.6689688893912983,0.7082049845485715,0.696969696969697,0.6388888888888888,0.6666666666666666
1,ID10_Aud_Cortex_Tursiops_10,Auditory Cortex,20,0.7096773964620194,0.8111454017810716,0.5756515568881296,0.7096773964620194,0.7096773964620194,0.7457790641068307,0.5697392038253891,0.5753989794185865,0.6774193548387096,0.6774193548387096,0.6774193548387096
2,ID10_Aud_Cortex_Tursiops_11,Auditory Cortex,20,0.899999970000001,0.796309888742734,0.7166788759791647,0.899999970000001,0.899999970000001,0.881783760990337,0.664187227806224,0.6830871939426373,0.8666666666666667,0.8666666666666667,0.8666666666666667
3,ID10_Aud_Cortex_Tursiops_12,Auditory Cortex,20,0.7105262970914132,0.7632115778678428,0.5422818963197331,0.7297297100073051,0.6923076745562136,0.8562984368280376,0.6208060161376007,0.6824309391511125,0.8108108108108109,0.7692307692307693,0.7894736842105263
4,ID10_Aud_Cortex_Tursiops_13,Auditory Cortex,20,0.9189188692476287,0.7952446496323456,0.7307653142153817,0.8947367950138528,0.9444443919753115,0.8640065145407156,0.7605734765207709,0.7605734765207709,0.8947368421052632,0.9444444444444444,0.918918918918919
5,ID10_Aud_Cortex_Tursiops_14,Auditory Cortex,20,0.8181817933884306,0.7973788853128821,0.6524008863953616,0.8709677138397511,0.7714285493877557,0.8877924188258087,0.5802657705376305,0.6940702133253938,0.9032258064516129,0.8,0.8484848484848485
6,ID10_Aud_Cortex_Tursiops_15,Auditory Cortex,20,0.8518518203017844,0.7775097462239264,0.6623230926232302,0.8518518203017844,0.8518518203017844,0.8598281811542824,0.734286075536324,0.7426743441148209,0.7777777777777778,0.7777777777777778,0.7777777777777778
7,ID10_Aud_Cortex_Tursiops_16,Auditory Cortex,20,0.9056603431826286,0.7867632568935956,0.7125402812417364,0.8888888559670793,0.9230768875739658,0.9070712936759785,0.8014648181007762,0.8014648181007762,0.8888888888888888,0.9230769230769231,0.9056603773584906
8,ID10_Aud_Cortex_Tursiops_2,Auditory Cortex,20,0.7599999696000012,0.7599951574655192,0.5775962965699426,0.7599999696000012,0.7599999696000012,0.8478927821049659,0.7291030268357257,0.734976887416308,0.84,0.84,0.84
9,ID10_Aud_Cortex_Tursiops_3,Auditory Cortex,20,0.717948699539777,0.8229083196755603,0.5908059579515317,0.717948699539777,0.717948699539777,0.8672139617161023,0.6164895877079056,0.6786161703113986,0.7692307692307693,0.7692307692307693,0.7692307692307693
10,ID10_Aud_Cortex_Tursiops_4,Auditory Cortex,20,0.7547169526521904,0.7874914982659864,0.5943331838108129,0.7407407133058995,0.7692307396449716,0.862945660149351,0.7408381404189991,0.7419050881667033,0.7407407407407407,0.7692307692307693,0.7547169811320755
11,ID10_Aud_Cortex_Tursiops_5,Auditory Cortex,20,0.6999999650000017,0.8361662029797161,0.5853163128199856,0.6999999650000017,0.6999999650000017,0.8841810109132969,0.7534920845079829,0.7748133811480766,0.8,0.8,0.8
12,ID10_Aud_Cortex_Tursiops_6,Auditory Cortex,20,0.857142832653062,0.7909965891847314,0.6779970570727111,0.857142832653062,0.857142832653062,0.8570429511709865,0.703121988754758,0.71589999992841,0.8,0.8,0.8
13,ID10_Aud_Cortex_Tursiops_7,Auditory Cortex,20,0.7741935234131121,0.7768541623530705,0.6014354611302655,0.7741935234131121,0.7741935234131121,0.8842105262561262,0.6573604060246334,0.7425044090837737,0.6774193548387096,0.6774193548387096,0.6774193548387096
14,ID10_Aud_Cortex_Tursiops_8,Auditory Cortex,20,0.7777777489711944,0.789096756784819,0.6137418992125667,0.8076922766272201,0.7499999732142867,0.8549206837475034,0.7013702137659917,0.7197722155052613,0.7692307692307693,0.7142857142857143,0.7407407407407407
15,ID10_Aud_Cortex_Tursiops_9,Auditory Cortex,20,0.7796609905199664,0.7710078277434499,0.6011247266771058,0.7666666411111119,0.7931034209274682,0.8745234542861747,0.5064764283972334,0.6377703374683041,0.7,0.7241379310344828,0.711864406779661
16,ID14_Aud_Cortex_Tursiops_1,Auditory Cortex,20,0.6933333148444449,0.7964331074341721,0.5521936064291965,0.7647058598615925,0.6341463259964311,0.7967573826985085,0.536343784079212,0.6295527457416915,0.7647058823529411,0.6341463414634146,0.6933333333333334
17,ID14_Aud_Cortex_Tursiops_10,Auditory Cortex,20,0.8285714048979599,0.8131200928231497,0.6737280576612367,0.9062499716796885,0.7631578746537402,0.894409381813956,0.7098752227657843,0.740088791904347,0.90625,0.7631578947368421,0.8285714285714286
18,ID14_Aud_Cortex_Tursiops_11,Auditory Cortex,20,0.7868852201021239,0.8240462514731584,0.6484298159647863,0.8888888559670793,0.7058823321799315,0.8974476890723472,0.7883351864158157,0.8006417554289782,0.9629629629629629,0.7647058823529411,0.8524590163934426
19,ID14_Aud_Cortex_Tursiops_12,Auditory Cortex,20,0.7733333127111117,0.7972676083231159,0.6165536006617803,0.878787852157944,0.6904761740362816,0.8634475242890793,0.6355421686108893,0.7276150134453918,0.9393939393939394,0.7380952380952381,0.8266666666666667
