,image_names,Area,small_objects_threshold,dq_metrics,sq_metrics,pq_metrics,precision_metrics,recall_metrics,dice_list,aji_list,aji_plus_list,prec_d_metrics,rec_d_metrics,f1_d_metrics
0,ID10_Aud_Cortex_Tursiops_1,Auditory Cortex,20,0.7246376601554302,0.8206192451333467,0.5946516096719437,0.7575757346189171,0.6944444251543216,0.90110798739453,0.6717321472280867,0.7112133002680429,0.7575757575757576,0.6944444444444444,0.7246376811594203
1,ID10_Aud_Cortex_Tursiops_10,Auditory Cortex,20,0.7931034209274682,0.7847624024481789,0.6223977459969092,0.8518518203017844,0.7419354599375658,0.8145277059421097,0.589378507525527,0.631381732947145,0.9259259259259259,0.8064516129032258,0.8620689655172413
2,ID10_Aud_Cortex_Tursiops_11,Auditory Cortex,20,0.8666666377777787,0.788665198418341,0.6835098158455684,0.8666666377777787,0.8666666377777787,0.8975134200717274,0.6682692307074455,0.686823480361488,0.8333333333333334,0.8333333333333334,0.8333333333333334
3,ID10_Aud_Cortex_Tursiops_12,Auditory Cortex,20,0.7499999791666673,0.7598708985469019,0.5699031580795332,0.8181817933884306,0.6923076745562136,0.8305950572393624,0.6024048095588772,0.6675492113885635,0.8484848484848485,0.717948717948718,0.7777777777777778
4,ID10_Aud_Cortex_Tursiops_13,Auditory Cortex,20,0.9729729203798421,0.7781681219748167,0.7571365101843345,0.9473683711911383,0.9999999444444475,0.8657200810188342,0.7632331900898347,0.7632331900898347,0.9473684210526315,1.0,0.972972972972973
5,ID10_Aud_Cortex_Tursiops_14,Auditory Cortex,20,0.769230745562131,0.8174324484634692,0.6287941717782326,0.8333333055555564,0.7142856938775517,0.8877856202364047,0.5775442997822217,0.6898817344900554,0.9,0.7714285714285715,0.8307692307692308
6,ID10_Aud_Cortex_Tursiops_15,Auditory Cortex,20,0.8399999664000013,0.8045750292664718,0.6758429975501165,0.9130434385633287,0.7777777489711944,0.8586316265776596,0.6955085056057387,0.7307541496888309,0.9130434782608695,0.7777777777777778,0.84
7,ID10_Aud_Cortex_Tursiops_16,Auditory Cortex,20,0.8627450642060759,0.813308978045693,0.7016783064834093,0.8799999648000014,0.8461538136094686,0.8934474615633524,0.7796454365358312,0.7796454365358312,0.76,0.7307692307692307,0.7450980392156863
8,ID10_Aud_Cortex_Tursiops_2,Auditory Cortex,20,0.7450980099961565,0.756729318771612,0.5638375095224752,0.7307692026627229,0.7599999696000012,0.8514075886698158,0.7344783893095201,0.7402726497102708,0.8076923076923077,0.84,0.8235294117647058
9,ID10_Aud_Cortex_Tursiops_3,Auditory Cortex,20,0.7792207589812791,0.8157786295863362,0.6356716429069726,0.7894736634349037,0.769230749506904,0.8584948174369933,0.6328753350676211,0.7133481323508012,0.7631578947368421,0.7435897435897436,0.7532467532467533
10,ID10_Aud_Cortex_Tursiops_4,Auditory Cortex,20,0.7843136947327962,0.7850996789871695,0.6157644299599592,0.7999999680000013,0.7692307396449716,0.876771752793101,0.7615777424932578,0.7628490129145608,0.76,0.7307692307692307,0.7450980392156863
11,ID10_Aud_Cortex_Tursiops_5,Auditory Cortex,20,0.8499999575000021,0.8007173247623539,0.6806096920175162,0.8499999575000021,0.8499999575000021,0.9102222221486689,0.8208868143493455,0.8336049783918202,0.8,0.8,0.8
12,ID10_Aud_Cortex_Tursiops_6,Auditory Cortex,20,0.8695651921865162,0.7997742776613023,0.6954558734603825,0.8823529152249143,0.857142832653062,0.8678645065762671,0.7212581344191227,0.7344436496644074,0.8529411764705882,0.8285714285714286,0.8405797101449275
13,ID10_Aud_Cortex_Tursiops_7,Auditory Cortex,20,0.7796609905199664,0.8000087884735267,0.6237356444459481,0.8214285420918378,0.7419354599375658,0.8931606636386644,0.7108836206130513,0.7487615002655388,0.8928571428571429,0.8064516129032258,0.847457627118644
14,ID10_Aud_Cortex_Tursiops_8,Auditory Cortex,20,0.7547169526521904,0.7767296054062974,0.5862110008269791,0.7999999680000013,0.7142856887755111,0.8333595593364784,0.6019797421038237,0.6783309123625603,0.68,0.6071428571428571,0.6415094339622641
15,ID10_Aud_Cortex_Tursiops_9,Auditory Cortex,20,0.8421052336103426,0.7949700858433524,0.6694484698523504,0.8571428265306134,0.8275861783590973,0.8901825580235018,0.5931766489315257,0.6897144493658949,0.8214285714285714,0.7931034482758621,0.8070175438596491
16,ID14_Aud_Cortex_Tursiops_1,Auditory Cortex,20,0.6493506324843992,0.8145039238182061,0.528898638092377,0.6944444251543216,0.609756082688876,0.8025085518356608,0.5608685239434127,0.6369575361048103,0.75,0.6585365853658537,0.7012987012987013
17,ID14_Aud_Cortex_Tursiops_10,Auditory Cortex,20,0.7999999771428579,0.8171786483460179,0.6537428999984458,0.874999972656251,0.7368420858725767,0.8953332407892635,0.716344725058221,0.7533857756261952,0.96875,0.8157894736842105,0.8857142857142857
18,ID14_Aud_Cortex_Tursiops_11,Auditory Cortex,20,0.8124999746093758,0.7947300925540481,0.6457181800214711,0.8666666377777787,0.7647058598615925,0.9076184415510141,0.8055098683382493,0.8168155543019636,0.9333333333333333,0.8235294117647058,0.875
19,ID14_Aud_Cortex_Tursiops_12,Auditory Cortex,20,0.8108107888970058,0.7953354234030915,0.6448665420871947,0.937499970703126,0.714285697278912,0.8615726899213256,0.6340163933776622,0.7272727271853882,0.9375,0.7142857142857143,0.8108108108108109
20,ID14_Aud_Cortex_Tursiops_13,Auditory Cortex,20,0.6874999785156257,0.8250674833040403,0.5672338770454691,0.7333333088888897,0.6470588044982705,0.882943925182071,0.7208293152631794,0.7535593566779105,0.8,0.7058823529411765,0.75
21,ID14_Aud_Cortex_Tursiops_14,Auditory Cortex,20,0.6046511346673891,0.7705103310807933,0.46588994596094724,0.8666666088888928,0.46428569770408223,0.8233319344499231,0.6618316747070616,0.6772831249908,0.9333333333333333,0.5,0.6511627906976745
22,ID14_Aud_Cortex_Tursiops_15,Auditory Cortex,20,0.7246376601554302,0.803069610478585,0.5819344834791346,0.9259258916323744,0.59523808106576,0.868969085443735,0.5365678202752323,0.6902055093255132,0.9629629629629629,0.6190476190476191,0.7536231884057971
23,ID14_Aud_Cortex_Tursiops_16,Auditory Cortex,20,0.6315789307479229,0.7825647860584519,0.49425143081977413,0.8275861783590973,0.5106382870076961,0.8573513799855791,0.5319604612411895,0.6192522560572354,0.9310344827586207,0.574468085106383,0.7105263157894737
24,ID14_Aud_Cortex_Tursiops_2,Auditory Cortex,20,0.8059701251949217,0.7952166209712767,0.6409208395613024,0.8181817933884306,0.7941176237024229,0.9004966747663735,0.7272727272218299,0.7639022941002374,0.8181818181818182,0.7941176470588235,0.8059701492537313
25,ID14_Aud_Cortex_Tursiops_3,Auditory Cortex,20,0.7906976560302871,0.8255003030804824,0.652721154698029,0.8292682724568714,0.7555555387654325,0.8961528009279804,0.7152016931825697,0.7670988543069837,0.8048780487804879,0.7333333333333333,0.7674418604651163
26,ID14_Aud_Cortex_Tursiops_4,Auditory Cortex,20,0.7714285493877557,0.8365024007826366,0.6453018335951244,0.8709677138397511,0.6923076745562136,0.8808581545052667,0.7384520450688953,0.7550721987977451,0.9032258064516129,0.717948717948718,0.8
27,ID14_Aud_Cortex_Tursiops_5,Auditory Cortex,20,0.7407407224508464,0.8192473011416562,0.6068498377135766,0.8823529152249143,0.6382978587596201,0.8925433655826743,0.6740928038902417,0.7276406942688844,0.9411764705882353,0.6808510638297872,0.7901234567901234
28,ID14_Aud_Cortex_Tursiops_6,Auditory Cortex,20,0.7951807037305855,0.79223640455835,0.6299711016976975,0.868421029778394,0.7333333170370374,0.8631623523972706,0.6933026975837543,0.7142468238916291,0.9736842105263158,0.8222222222222222,0.891566265060241
