,image_names,Area,small_objects_threshold,dq_metrics,sq_metrics,pq_metrics,precision_metrics,recall_metrics,dice_list,aji_list,aji_plus_list,prec_d_metrics,rec_d_metrics,f1_d_metrics
0,consep_16-0000,Colon,26,0.8533333105777784,0.8210107070085674,0.7005957846314232,0.8648648414901394,0.8421052409972306,0.8328284218076524,0.7030956846381107,0.7030956846381107,0,0,0
1,consep_16-0001,Colon,26,0.8493150452242454,0.762627298424278,0.6477108384504597,0.8611110871913588,0.8378378151935726,0.8399140476981044,0.677782784885583,0.677782784885583,0,0,0
2,consep_16-0002,Colon,26,0.7906976376419703,0.7981837594289217,0.6311220129846351,0.8947367950138528,0.7083333038194456,0.8645690831516522,0.7022222218320987,0.7159624408943882,0,0,0
3,consep_16-0003,Colon,26,0.8510637935717534,0.8083254679138874,0.6879365391634557,0.9090908677685968,0.7999999680000013,0.8551564308893093,0.7469635625010245,0.7469635625010245,0,0,0
4,consep_7-0000,Colon,26,0.8799999296000057,0.7736691919199126,0.6808288344232164,0.9166665902777842,0.8461537810650938,0.833746897849257,0.7148936164128564,0.7148936164128564,0,0,0
5,consep_7-0001,Colon,26,0.9411763598616047,0.7883795079031795,0.7420041554377977,0.9999998750000157,0.8888887901234679,0.8814474747822179,0.7880251082626629,0.7880251082626629,0,0,0
6,consep_7-0002,Colon,26,0.4999999375000079,0.7605850472261751,0.3802924760765281,0.44444439506173394,0.57142848979593,0.723083367941733,0.5662729655076949,0.5662729655076949,0,0,0
7,consep_7-0003,Colon,26,0.699999930000007,0.7533214837564011,0.5273249858969822,0.636363578512402,0.7777776913580343,0.7535179297532829,0.6045156587002799,0.6045156587002799,0,0,0
8,consep_9-0000,Colon,26,0.41666663194444736,0.8413637250609963,0.35056818956139935,0.499999950000005,0.3571428316326549,0.5085190035986114,0.3409490330923119,0.3409490330923119,0,0,0
9,consep_9-0001,Colon,26,0.5365853396787639,0.7391642308903474,0.39662468991068933,0.4583333142361119,0.6470587854671302,0.697569247965639,0.4878048778436481,0.4878048778436481,0,0,0
